preferredName,log2FC_abs,log2FC_is_negative,alvo_ac_zol
CDH2,0.563672,1,1
KHDC1L,0.726382,1,0
LRRC69,1.23659,1,0
TSTD1,0.653015,1,0
ZNF717,0.525061,1,0
CD24,0.861971,1,0
SRRM5,0.695878,1,0
ABCB6,0.579337,1,0
ARL4A,0.690031,0,0
CD96,0.887291,1,0
CDKN1A,0.740203,0,0
NMUR1,0.529568,1,0
CD52,0.500206,1,0
EMG1,0.56655,1,0
CEACAM5,0.600493,1,0
IFI44,0.69913,0,0
COLEC10,0.715289,0,0
RASL10A,0.589759,1,0
EDDM3A,0.659937,1,0
IFI44L,1.4677,0,0
UPK1A,0.700163,1,0
STMN2,0.5907,1,0
ZWINT,0.562971,1,0
IL1RAPL1,0.544461,1,0
NUDT6,0.655959,1,0
MAP4K1,0.529698,1,0
KLF8,0.615376,1,0
ZIM3,1.11228,1,0
MRFAP1L1,0.545027,1,0
SLC26A9,0.73122,1,0
FCRL3,1.01143,1,0
GBP4,0.555221,0,0
CKM,0.83783,1,0
ABHD15,0.591767,1,0
ACSM1,0.787024,1,0
C8orf34,0.639068,1,0
MRGPRF,1.31514,1,0
RPL39L,0.792059,1,0
MUCL1,0.505231,1,0
LARGE2,0.593776,1,0
FOXN4,0.546064,1,0
CLBA1,0.724305,1,0
ACOT4,0.901936,1,0
CCR5,0.886158,1,0
CCDC78,0.754781,1,0
MIEF2,1.33673,1,0
CLDND2,0.776495,1,0
C1orf194,0.51391,1,0
CMPK2,0.691001,0,0
SPIN4,0.500204,1,0
ANKRD60,0.523527,1,0
CSF3,0.870599,1,0
FAM216B,0.737981,1,0
CARMIL2,0.551641,1,0
RTN4RL1,0.970136,1,0
SLFN13,0.913509,1,0
CCBE1,0.500501,1,0
CDC42EP5,1.09321,0,0
HJV,1.00041,1,0
CCDC27,1.35145,1,0
KNCN,1.06217,1,0
LRRC71,0.898462,1,0
PNPLA5,0.690228,0,0
CTRB1,0.710602,0,0
KLHL23,0.568985,1,0
PP2D1,1.08184,1,0
MARVELD2,0.635819,1,0
CCDC167,0.852665,1,0
RUNDC3B,0.913291,1,0
AMOT,0.685587,1,0
PRAG1,0.571999,1,0
KIAA1958,0.595809,0,0
DGKB,0.617074,1,0
MDGA2,0.893901,1,0
C16orf82,0.950573,1,0
PHOSPHO1,1.27936,1,0
FBXO39,0.538659,1,0
ELOA3,0.704619,1,0
ZNF296,0.81536,1,0
DCX,0.629849,1,0
UBL4B,0.609008,1,0
AKR1C2,0.533307,1,0
SPTSSB,0.97526,1,1
ZNF366,0.692702,1,0
TIMM8A,0.515189,1,0
ZCCHC12,0.550621,1,0
SEPTIN1,0.669523,1,0
DNMT3B,1.03658,0,0
E2F6,0.694935,1,0
METTL21C,0.594638,1,0
TXLNA,0.806047,1,0
ERICH5,0.879019,1,0
CT83,0.596731,1,0
EPHA3,0.643325,1,0
PDILT,0.745267,1,0
EPS8,0.586879,1,0
ETV4,0.543486,1,0
FANCF,0.625885,1,0
FANCG,0.692209,1,0
TMEM26,1.26115,1,0
SPATA19,0.626429,1,0
FCGR1A,0.535407,0,0
FCGR1B,0.5434,0,0
GPRC6A,1.11074,1,0
UNC5CL,0.650789,0,0
FEN1,0.539653,1,0
FGF9,0.761296,1,1
SORCS3,0.79261,1,0
TTC39A,0.583464,1,0
ATP10B,0.622144,1,0
N4BP3,0.623881,1,0
ANKRD28,0.505474,0,0
KIF13B,0.901743,1,0
ESYT1,0.538917,1,0
SYNE1,0.657178,1,0
LARS2,0.586785,1,0
GSPT2,0.69536,1,0
FSHR,1.07051,1,0
G6PC,0.692793,1,0
CT47A4,0.707218,1,0
COL6A5,0.512411,1,1
SCML4,0.659098,1,0
NCR3,1.2296,1,0
MYRIP,0.502174,1,0
NOL11,0.503471,1,0
IL4I1,0.628537,0,0
NECTIN3,0.510332,0,0
PYGO1,0.624375,1,0
FBXO5,0.511085,1,0
GBP1,0.82818,0,0
GBP2,0.497966,0,0
GCKR,0.726772,1,0
OR4F16,0.46078,0,0
OR2W1,0.97967,1,0
GFI1,0.6473,1,0
AMPD1,0.792329,1,0
ZNF777,0.529692,1,0
TEKT2,0.900229,0,0
GLI1,0.908893,1,0
BIN1,0.599226,1,0
GNGT1,1.00144,1,1
XCR1,0.573366,1,0
JAKMIP3,1.01495,1,0
CDH20,0.592857,1,1
OR8D2,1.02422,1,0
CXCR3,0.583575,1,0
OR4N4,0.517599,1,0
MEIOC,0.594626,1,0
DCAF4L1,1.10861,0,0
PPIL6,0.560064,1,0
SLC25A4,0.650982,1,1
PRSS50,0.740465,1,0
GRP,0.944689,1,0
YPEL1,0.592377,1,0
GMPPB,0.520602,1,0
H1-0,0.45965,0,0
HAS1,0.785774,1,0
HCRTR2,1.31851,1,0
ERVW-1,0.783979,0,0
NRG1,0.56395,0,1
HMMR,0.528806,1,0
RFESD,0.579529,1,0
HSD17B3,1.15,0,0
APLP1,0.563751,1,0
HSPG2,0.596317,0,0
HTR5A,0.945536,1,0
IAPP,1.50679,1,0
ICAM4,0.549433,1,0
ID1,1.50397,0,1
WDR97,0.813767,0,0
BEX5,0.776141,1,0
VSIG1,0.667568,1,0
ZKSCAN2,0.535198,1,0
IFI35,0.456782,0,0
IFNA4,1.21007,0,0
IFNA7,0.550662,0,0
ZFP57,0.523915,1,0
TUBB2B,0.678072,1,0
SLC6A18,1.27051,1,0
IL13,0.771573,1,0
PRAC2,0.721198,0,0
CXCL10,0.964747,0,0
INSRR,0.649574,1,0
ISL1,1.10344,0,0
ITGB7,0.563915,1,0
ITPA,0.664331,1,0
DRAXIN,0.513895,1,0
FAM89A,0.516359,1,0
KCNH1,0.828013,1,0
KCNJ11,1.27662,1,0
KCNJ16,0.782192,1,0
ARL4D,0.501851,1,0
KHK,0.514243,1,0
KIR3DL1,0.571702,1,0
KLRC1,2.25601,1,0
SBK1,0.889707,1,0
DIPK1A,0.619105,1,0
RHOC,0.50987,1,0
SP5,0.792659,1,0
KRT86,0.692425,1,0
CSAG3,1.02587,1,0
LAG3,1.11198,1,0
ONECUT3,0.500353,0,0
LAMB3,1.09868,0,1
LGALS3BP,0.795615,0,0
LGALS4,1.17652,0,0
RGS7BP,1.70386,1,0
LOXL1,0.596001,1,0
LOXL2,0.553968,1,0
LY9,0.718699,1,0
MATK,0.713784,1,1
MC4R,0.734413,1,0
MIPEP,0.531202,1,0
MKI67,0.540333,1,0
ASCL1,0.550216,1,1
MME,0.561009,1,0
MMP12,0.655045,0,0
CD200,0.924081,1,0
ASNS,0.661822,1,0
MT-ND6,0.575494,0,0
MX1,0.902595,0,0
MYH1,1.27009,1,0
MYOD1,0.504008,1,0
NAP1L3,1.033,1,0
CEACAM6,0.87347,1,0
GPR143,1.04534,1,0
OAS3,0.541713,0,0
SIX6,1.0452,0,0
OXCT1,0.50981,1,0
IRX4,1.2667,1,0
PCBD1,0.918563,1,0
SHANK1,0.745954,0,0
LAP3,0.473571,0,0
PCNA,0.559013,1,0
HERC5,0.561866,0,0
MTRES1,0.528936,1,0
KCNK9,0.829668,1,0
AMOTL2,0.713299,1,0
ATP8A2,0.543081,1,0
PGR,0.772939,0,1
PHKA1,0.597453,1,0
SERPINB5,0.839433,1,0
PIK3C2B,0.605467,1,0
PLS3,0.610011,1,0
PTOV1,0.516007,1,0
GPR84,1.21194,0,0
RBM11,0.544031,1,0
MRPL39,0.554041,1,0
POU1F1,1.07176,1,0
POU4F2,0.573561,1,0
POU5F1B,0.663666,0,0
XAF1,0.478925,0,0
PPEF1,0.59078,0,0
BTG4,0.519152,0,0
LAX1,0.529222,1,0
SEMA4C,0.71888,1,0
RHBDL2,0.562351,1,0
TIPIN,0.654235,1,0
TMEM255A,0.736718,0,0
NRDE2,0.538913,1,0
CEP55,0.866541,1,0
SLC29A3,0.528946,1,0
MNS1,0.50392,1,0
GPRC5D,0.687827,1,0
ASIC4,0.75805,1,0
TRIM36,0.619428,1,0
DDX60,0.571104,0,0
PRR5,0.623427,1,1
PRKACG,0.618625,1,1
ZKSCAN7,0.701469,1,0
PRKCZ,0.874545,1,1
ANGPTL8,0.60224,1,0
ALG1,0.630789,1,0
TEX14,0.845779,1,0
ANKH,0.534759,1,0
LTB4R2,0.817557,1,0
MAP3K7CL,0.474391,0,0
CPA6,0.976803,1,0
ZNF695,0.966665,1,0
CD248,0.510938,1,0
JPH2,0.557204,1,0
ZNF304,0.53331,1,0
NWD2,0.988446,1,0
MTUS1,0.682893,1,0
KCTD16,0.559023,1,0
NYAP2,0.963291,1,0
COL20A1,0.600005,1,0
SCUBE2,1.14781,1,0
PTPRK,0.628474,1,1
NGB,0.604239,1,0
ALDH18A1,0.546226,1,0
ZNF250,0.669758,1,0
MYOZ1,0.710569,1,0
REG1A,1.76777,1,0
RNASE1,0.583623,1,0
ROBO2,0.792639,1,0
SCART1,1.13564,1,0
RS1,0.595573,1,0
CFB,0.589878,0,0
SALL2,0.594908,1,0
CCL1,0.526671,1,0
CCL13,0.640012,1,0
